id_pdc_itinerance,etat_pdc,occupation_pdc,horodatage,etat_prise_type_2,etat_prise_type_combo_ccs,etat_prise_type_chademo,etat_prise_type_ef
FRALLEGO9000072,en_service,occupe,2025-06-06T16:53:19Z,,,,
FRALLEGO9002403,en_service,libre,2025-06-06T15:37:50Z,,,,
FRALLEGO9002401,en_service,occupe,2025-06-06T15:34:00Z,,,,
FRALLEGO9003762,en_service,libre,2025-06-06T15:22:35Z,,,,
FRALLEGO9005351,en_service,occupe,2025-06-06T16:41:09Z,,,,
FRALLEGO9005352,en_service,libre,2025-06-06T14:38:13Z,,,,
FRALLEGO9005371,en_service,libre,2025-06-06T16:40:47Z,,,,
FRALLEGO9005372,en_service,libre,2025-06-06T16:49:41Z,,,,
FRALLEGO9003761,en_service,occupe,2025-06-06T16:39:50Z,,,,
FRALLEGO9004251,en_service,libre,2025-06-06T15:55:27Z,,,,
FRALLEGO9004252,en_service,libre,2025-06-06T16:52:47Z,,,,
FRALLEGO9004171,en_service,libre,2025-06-06T16:54:56Z,,,,
FRALLEGO9004172,en_service,occupe,2025-06-06T16:09:55Z,,,,
FRALLEGO9007221,en_service,libre,2025-06-06T16:55:46Z,,,,
FRALLEGO9007222,en_service,occupe,2025-06-06T16:55:46Z,,,,
FRALLEGO9007251,en_service,occupe,2025-06-06T16:38:25Z,,,,
FRALLEGO9007252,en_service,occupe,2025-06-06T16:51:29Z,,,,
FRALLEGO9005582,en_service,libre,2025-06-06T16:53:05Z,,,,
FRALLEGO9001831,en_service,libre,2025-06-06T15:24:46Z,,,,
FRALLEGO9001832,en_service,libre,2025-06-06T16:58:52Z,,,,
FRALLEGO9005672,en_service,occupe,2025-06-06T16:54:32Z,,,,
FRALLEGO9005671,en_service,libre,2025-06-06T16:54:09Z,,,,
FRALLEGO9003901,en_service,libre,2025-06-06T16:44:53Z,,,,
FRALLEGO9003902,en_service,libre,2025-06-06T13:20:40Z,,,,
FRALLEGO9005581,en_service,occupe,2025-06-06T16:45:29Z,,,,
FRALLEGO0001541,en_service,libre,2025-04-01T21:04:39Z,,,,
FRALLEGO0001431,en_service,libre,2025-04-01T21:05:06Z,,,,
FRALLEGO0001261,en_service,libre,2025-04-01T21:05:07Z,,,,
FRALLEGO9007082,en_service,libre,2025-06-06T16:17:39Z,,,,
FRALLEGO9000101,en_service,libre,2025-06-06T15:29:15Z,,,,
FRALLEGO9000102,en_service,libre,2025-06-06T16:35:12Z,,,,
FRALLEGO9000491,en_service,libre,2025-06-06T16:45:44Z,,,,
FRALLEGO9000492,en_service,libre,2025-06-06T16:09:58Z,,,,
FRALLEGO9006992,en_service,libre,2025-06-06T16:28:41Z,,,,
FRALLEGO9006991,en_service,libre,2025-06-06T16:41:02Z,,,,
FRALLEGO9007081,en_service,occupe,2025-06-06T16:20:15Z,,,,
FRALLEGO9990282,en_service,libre,2025-06-06T16:27:57Z,,,,
FRALLEGO9990291,en_service,occupe,2025-06-06T16:59:10Z,,,,
FRALLEGO9990292,en_service,libre,2025-06-06T16:59:30Z,,,,
FRALLEGO9003542,en_service,libre,2025-06-06T13:37:11Z,,,,
FRALLEGO9003541,en_service,occupe,2025-06-06T16:48:20Z,,,,
FRALLEGO9003941,en_service,libre,2025-06-06T13:53:16Z,,,,
FRALLEGO9003942,en_service,libre,2025-06-06T16:48:49Z,,,,
FRALLEGO9990281,en_service,occupe,2025-06-06T16:12:05Z,,,,
FRALLEGO9007162,en_service,occupe,2025-06-06T16:18:02Z,,,,
FRALLEGO9007161,en_service,libre,2025-06-06T15:55:47Z,,,,
FRALLEGO9003052,en_service,libre,2025-06-06T10:24:54Z,,,,
FRALLEGO9003051,en_service,libre,2025-06-06T15:41:51Z,,,,
FRALLEGO9002992,en_service,libre,2025-06-06T14:39:50Z,,,,
FRALLEGO9002991,en_service,libre,2025-06-06T13:02:04Z,,,,
FRALLEGO9007031,en_service,libre,2025-06-06T16:58:59Z,,,,
FRALLEGO9007032,en_service,occupe,2025-06-06T16:58:59Z,,,,
FRALLEGO9001451,en_service,occupe,2025-06-06T16:57:18Z,,,,
FRALLEGO9001452,en_service,occupe,2025-06-06T16:25:03Z,,,,
FRALLEGO9001552,en_service,libre,2025-06-06T16:37:28Z,,,,
FRALLEGO9001551,en_service,occupe,2025-06-06T16:15:38Z,,,,
FRALLEGO9002523,en_service,libre,2025-06-06T14:15:48Z,,,,
FRALLEGO9002521,en_service,occupe,2025-06-06T16:50:58Z,,,,
FRALLEGO9002522,en_service,libre,2025-06-06T14:15:29Z,,,,
FRALLEGO9990051,en_service,occupe,2025-06-06T16:41:18Z,,,,
FRALLEGO9990062,en_service,occupe,2025-06-06T16:21:09Z,,,,
FRALLEGO9990052,en_service,occupe,2025-06-06T16:35:36Z,,,,
FRALLEGO9990061,en_service,occupe,2025-06-06T16:59:19Z,,,,
FRALLEGO9001682,en_service,libre,2025-06-06T16:40:57Z,,,,
FRALLEGO9001681,en_service,libre,2025-06-06T15:56:28Z,,,,
FRALLEGO9005132,en_service,libre,2025-06-05T19:05:45Z,,,,
FRALLEGO9005131,en_service,occupe,2025-06-06T16:16:10Z,,,,
